rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
152,"spotify:track:3BK6m6yU8BAW5z71FnU3nu","YOUNGOHM","ธารารัตน์","Already Deadd Records",1,157,62,"267225"
153,"spotify:track:3qllosM3e50u675h2Ftdwu","YUNGTARR","มั่นใจหน่อยดิว่ะ","dhavision",153,180,2,"265738"
154,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",92,148,148,"263291"
155,"spotify:track:0J4VMkjn2XNaUICSlDg8V4","Only Monday","ได้แต่นึกถึง","GMM Music Public Company Limited",12,85,189,"262771"
156,"spotify:track:5pbD2zRUQmzhzqHTp97K19","SPRITE, YOUNGOHM","KIMINOTO","Hype Train",98,155,24,"262688"
157,"spotify:track:3z2QRQ0UiVA4YmglGPoINT","Pop Pongkool","ภาพจำ","GMM Music Public Company Limited",1,90,125,"262265"
158,"spotify:track:4eXfkqFZLTixR89GpkjKgE","BOYdPOD, Billkin","I’m OK // Not OK - Headphones Version","Universal Music (Thailand) Ltd. Distributed Labels",23,174,9,"261918"
159,"spotify:track:2MnVrkbwL6ViB7q4NI7oVK","ZENTYARB, PUNYARB, LAZYLOXY","ฉบับปรับปรุง","Digital LUV",2,196,168,"261669"
160,"spotify:track:5kWEorPV6WHYf5htPXONcL","Indigo","ถ้าฉันเป็นเขา","Move Records",3,181,106,"261667"
161,"spotify:track:24KtV9epEPcolK3Cctm2ni","YENTED, ARARYOZI, Chocolate - t","Her","Yented",61,158,163,"261343"
162,"spotify:track:1RqIHW6YAOdDKzrRs9Cgll","Loso","ใจสั่งมา","GMM Music Public Company Limited",81,98,27,"261015"
163,"spotify:track:3georCIpP8OEGQkggOhuZw","HANGMAN","พยายามกี่ครั้งก็ตามแต่...","GMM Music Public Company Limited",79,138,36,"260651"
164,"spotify:track:1UOn6xVwWZ21sJp7eRCGG3","Tattoo Colour, F.HERO","ฉันรักเธอ","Smallroom",164,192,5,"260238"
165,"spotify:track:4WkNie7Ys3kDgfmIPvMOsg","Cocktail","น้ำหอม","GMM Music Public Company Limited",8,139,42,"259863"
166,"spotify:track:11sWcMeRIGlUR5rwvV6IS3","Musketeers","นิทาน","Believe Records",106,-1,50,"259562"
167,"spotify:track:4fAI0wdVepOCi4xRwj40z9","YEW","จะมอบความรัก","YEW",66,-1,184,"258678"
168,"spotify:track:6dltZJ9ZFOnyCPgNikpCiW","ปราง ปรางทิพย์","ดวงใจ","SONG RIDER",19,190,18,"258425"
169,"spotify:track:3ZONf2dg0q1KvTIebUI0GG","Tattoo Colour","ขาหมู","Smallroom",108,-1,27,"257667"
170,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",28,179,37,"256810"
171,"spotify:track:7uMQlau2mW31kf0prr1ir9","FREEHAND","ขอให้เธอใจดี (May she be kind)","Freehand",12,178,106,"256070"
172,"spotify:track:0PNOA20FfXz8c1KVaon1ei","NCT DREAM","CHILLER","SM Entertainment",94,131,4,"255686"
173,"spotify:track:5geYp37qqFdV7JRsxgUVE1","Cxpy, YUNGTARR","Part Time (Remix)","dhavision",154,154,2,"255208"
174,"spotify:track:4SAHOroe7DThzEjgNOJ54T","Dept","คงต้องบอกลาแล้ว (Farewell)","Smallroom",28,-1,155,"253978"
175,"spotify:track:7HQKaP8RgTl3igRPFrjGg2","Big Ass","ทิ้งไว้ในใจ","Music bugs",48,-1,48,"252233"
