rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
59,"spotify:track:0ze2gwpSfT2leQALslUXId","PUN","Living Death","Universal Music (Thailand) Ltd.",19,66,15,"467039"
60,"spotify:track:4U38O9pdKGcqKwnoo500pg","FULL","ทุกการเติบโตของเธอจะมีฉันคอยซัพพอร์ตเสมอ","GMM Music Public Company Limited",60,130,3,"466022"
61,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","OA Entertainment/Columbia",5,45,22,"463531"
62,"spotify:track:2QV4JzbjMvgBRXsZHE0vW5","LITTLE JOHN","ฉันไม่ต้องการตัวเธอในตอนนี้","9 Arkkhan",23,63,51,"463451"
63,"spotify:track:6OtTqu9t1RitlU1RjUfEXe","Bedroom Audio","กอดไม่ได้","Bedroom Audio",35,62,102,"460581"
64,"spotify:track:35wMKn5IxX8DYnCuyIEdQq","Three Man Down","เพลงรัก","GMM Music Public Company Limited",5,50,43,"460371"
65,"spotify:track:5QxNmQBXpLPemzpDvsuiLM","PUN","DAY ONE","Universal Music (Thailand) Ltd.",6,49,61,"456654"
66,"spotify:track:1YiOlK2XiivuLhmQnL1n7Q","คณะขวัญใจ","รักสลักอก","คณะขวัญใจ",33,70,7,"446052"
67,"spotify:track:6koztzfSaFalbFxpiaFpjk","YOUNGOHM","เด็กอินเตอร์","Youngohm",41,71,110,"444987"
68,"spotify:track:7jq0O5rfrzEIqNOsc7v9JT","First Anuwat, Saran","เดินมาส่ง - BYE","Marr",11,74,117,"440261"
69,"spotify:track:2UzdM3S5SrnjLCwQsleGrM","P6ICK, Z9","SHE IS TOTALLY OUT OF MY LEAGUE (feat. Z9)","Sony Music Entertainment Thailand",69,-1,1,"436128"
70,"spotify:track:7LSUaVDiEO3W6Fp67yKumm","guncharlie","จากกันโดยสมบูรณ์","Kicks Records",30,67,26,"435841"
71,"spotify:track:33INj4yz0wD8SA4X6h3LD3","Ink Waruntorn","พบรัก","BOXX MUSIC",16,78,56,"428149"
72,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",37,54,6,"421246"
73,"spotify:track:5iXqJk5DSfS5l57s0x8dTV","WANYAi","ไปได้ดี (So Long)","HOLYFOX CO., LTD.",6,184,92,"417699"
74,"spotify:track:0FTmksd2dxiE5e3rWyJXs6","sombr","back to friends","Warner Records",74,81,10,"416092"
75,"spotify:track:07ZIrtR00m3t9AcmeRZ7vQ","Musketeers","ไกล","Believe Records",65,113,169,"414107"
76,"spotify:track:1EOWBTE1GPKcxz3wlR08tW","D Gerrard","Luxury","WM/Thailand",15,150,134,"413178"
77,"spotify:track:06DPpk0hUJEgpzl5cuWNI6","Polycat","เวลาเธอยิ้ม (You Had Me At Hello)","Smallroom",22,72,351,"408899"
78,"spotify:track:021QfEXbcQjwwUHmXuDswD","Saran, 2T FLOW, BLVCKHEART","ONE GIRL","SARAN",30,96,40,"401109"
79,"spotify:track:4rmspWmdoJIjw6Rm3cEvGm","Violette Wautier","ตั้งแต่มีเธอฉันมีความสุข (This Time)","Universal Music (Thailand) Ltd.",16,79,82,"397810"
80,"spotify:track:2yDEfRpX5tRUcAo4VM0wFA","Basher","เสียดายของ","Music bugs",44,106,93,"397525"
81,"spotify:track:5W2IYA5Su42XiI90GDdscj","Cocktail, Q Flure","Yours Ever (feat. Q Flure)","GMM Music Public Company Limited",4,59,44,"394268"
82,"spotify:track:0Eqm1msB6wpMo9PgMOsAIx","YUNGTARR","Satin","dhavision",82,132,3,"393310"
83,"spotify:track:30ho6wAl9w53sCtcqzHVMA","Saran, GTK","ใจพัง","SARAN",26,104,86,"388705"
84,"spotify:track:7jGiXLzchqbDTW7WzSU7a3","YEW","ปล่อยดาว (Flaw)","YEW",11,86,95,"388698"
85,"spotify:track:0GbWc31BXewOO7ZYRR9RVn","Whatcharawalee","ลูกอม","Tinnamou Music Score Co., Ltd.",49,100,176,"388026"
86,"spotify:track:2eyWFRvT7lOQmqfXI25oR1","LISA","Moonlit Floor (Kiss Me)","Lloud Co./RCA Records",1,75,44,"386085"
