rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
168,"spotify:track:7ItdbXWEVH8TNhmAQuc0O5","El Cuarteto De Nos","Yendo a la Casa de Damián","Porfiado Records",118,134,55,"25692"
169,"spotify:track:4581iSIX0QZNNzAQRysF3k","Airbag","Nunca Lo Olvides","DALE PLAY Records",55,55,6,"25659"
170,"spotify:track:35LdDKNMwvKftENaj1WIwF","El Cuarteto De Nos","Enamorado tuyo","WM Argentina",170,-1,1,"25600"
171,"spotify:track:0OTtnwUO8natNWSwdZvXVF","Ovy On The Drums, Beéle","Inolvidable","WEA Latina",9,-1,51,"25518"
172,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",15,190,38,"25460"
173,"spotify:track:7JmUqcES7E3daz1iW7oEzJ","La Deskarga, Wampi","Amnesia","Montevideo Music Group",56,164,18,"25458"
174,"spotify:track:2SsY5k7UWFqgye3PUMG3Oq","Chappell Roan","The Subway","Chappell Roan PS/ Island",174,-1,1,"25359"
175,"spotify:track:3fmw8iIyQDS2L7nE6Wd0xG","Beéle","sobelove","5020 Records",58,179,21,"25316"
176,"spotify:track:57q0jUz79o0XeTmN2E15uI","Max Carra","Martes 13","Espantapájaros",122,175,12,"25305"
177,"spotify:track:1njx0NntHAJlSD3VT4K7Sj","Valen, The La Planta","Mix Cumbia VV2 (Herederos, Cómo Mirarte, Vas A Quedarte)","TLP Records",35,171,28,"25270"
178,"spotify:track:5tdOFG9V0RfAbjMNb77cal","Maxi Alvarez, ONE PLAY","La Plena","One Play Network",58,169,16,"25245"
179,"spotify:track:6vRQqxOhUFd78p5tL8jXr7","Luck Ra, BM","La Morocha","Sony Music Entertainment Chile S.A",1,188,109,"25154"
180,"spotify:track:7MVIfkyzuUmQ716j8U7yGR","Milo j, Taiu","Rara Vez","Universal Music Argentina S.A.",4,192,130,"25130"
181,"spotify:track:0b1jitI4pvmVZi4zgPqAF5","Juanjo Morgade, ONE PLAY","Toki \ Bby Boo","One Play Network",60,-1,27,"25124"
182,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",50,-1,48,"25103"
183,"spotify:track:5WEF0icHWmAZBBMglBd599","Bad Bunny, Chuwi","WELTiTA","Rimas Entertainment LLC.",2,112,31,"25075"
184,"spotify:track:6rg1MBZqggsQ5olFGTw0rr","Divididos","Spaghetti del Rock","Ariola",119,138,18,"25011"
185,"spotify:track:3uP1USIwwDpOA8uw0LjY2P","No Te Va Gustar, Julieta Venegas","Chau","Elefante Blanco",102,173,138,"24993"
186,"spotify:track:6ViJgiKfyqfs52x2pGhuPF","Hernan y La Champion's Liga, Callejero Fino, BM","Despójate Vol.2","Impronta Music",22,200,43,"24935"
187,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",34,58,144,"24929"
188,"spotify:track:3vUWWpeAUDowjEgTcpsbSE","El Cuarteto De Nos","Ya No Sé Que Hacer Conmigo","Porfiado Records",138,172,26,"24803"
189,"spotify:track:6iCnJkKswtMYoSmT58HmEn","Los Auténticos Decadentes","Un Osito de Peluche de Taiwán","Pop Art",131,131,6,"24799"
190,"spotify:track:0JoHqmlqE0W0i9prt6kcHR","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Sony Music Latin",22,182,45,"24776"
191,"spotify:track:7q3NthaBqFI6s0WnAlnIvq","Darell, Brytiago","Velitas","Sony Music Latin",47,-1,42,"24775"
192,"spotify:track:5E3Z8Cs53V9eifbMBkn0EI","La Penúltima","Verte De Nuevo","Leapercu7",44,154,13,"24723"
193,"spotify:track:0lY8BvO7CmINsGiG0gc8O2","La Deskarga","Muevelo","Montevideo Music Group",14,-1,62,"24683"
194,"spotify:track:1bOomfQ28HND8HwT0tViLT","Lyon la f, Lamelodiadelhampa, Nacho G Flow","DEJA QUE EL MUNDO SE ACABE","PEGAO COMPANY",185,-1,2,"24604"
195,"spotify:track:6FucPjGxmA7jTblTsTAGyB","DobleP, La Joaqui, Gusty dj","PISANDO EL LAMBO","DALE PLAY Records / Wesaisons Records",167,167,2,"24547"
196,"spotify:track:5Nj2UVsxXAvhfYNpcre3al","Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN","FAMOSINHA","BR MUSIC DIREITOS MUSICAIS LTDA.",181,184,3,"24444"
197,"spotify:track:4Vl4Ljum5W4v8w8EiqWTHA","Jere Klein, Lucky Brown, Valdi, Mateo on the Beatz","2x1","2025 JERE KLEIN",85,161,15,"24343"
198,"spotify:track:3I4YGWwJoqBdBGVnkRjnVw","Slayter, Yan Block, NTG","secuestro","SONAR LLC.",56,180,14,"24317"
199,"spotify:track:0oH7QF9L9fzDy6EFWlivCC","Tan Bionica","Beautiful","Pirca Records",94,-1,15,"24199"
200,"spotify:track:63zeT81t627KKfZsC920QN","JC Reyes, Pirlo","REMEDIO","JC Reyes",200,-1,1,"24154"
