rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
17,"spotify:track:2a5hng9yXtbjtTVVm9UviC","Vũ Cát Tường","Mơ","Universal Music Indochina Distributed Labels",12,12,154,"468280"
18,"spotify:track:3W77mLoXjQEkNjxvYRifjG","Ánh Sáng AZA, Negav","tâm trí lang thang","DAO Entertainment",13,13,9,"466288"
19,"spotify:track:1uiqiUzPn2EJpvHDy84PEZ","EM XINH ""SAY HI"", Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều","KHÔNG ĐAU NỮA RỒI","Em Xinh Say Hi",2,9,7,"463169"
20,"spotify:track:7k9aYmnQ1nrp3RMTxNtUQV","EM XINH ""SAY HI"", Bích Phương, Muộii, LYHAN, Hoàng Duyên, Tăng Duy Tân","EM CHỈ LÀ","Em Xinh Say Hi",6,31,6,"461195"
21,"spotify:track:2wZAvkgiOE5tyrnqhB69KA","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",10,14,250,"448385"
22,"spotify:track:1K0HQ30Wc11okzlcnFA7Ub","HIEUTHUHAI","Không Thể Say","M Music Records",7,16,120,"443482"
23,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",3,25,36,"427269"
24,"spotify:track:4tqXSj46umlymdIxqY8zso","SOOBIN","giá như","WDND",13,17,69,"421564"
25,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",2,32,12,"414538"
26,"spotify:track:2uZmeuNAxSm7XfVIwLkhCx","Ronboogz","nhắn nhủ","MaiDao Music",14,22,86,"412631"
27,"spotify:track:31VNCmwspR7nVJ6kruUuJt","Sơn Tùng M-TP","Đừng Làm Trái Tim Anh Đau","Universal Music Indochina Distributed Labels",1,18,61,"410736"
28,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,20,91,"406634"
29,"spotify:track:3ZbZtdEw9U0uZW4tZItIwq","RHYDER, CoolKid, BAN","Chịu Cách Mình Nói Thua","RHYDER",6,26,89,"388555"
30,"spotify:track:3Ids3RXurYBgySph53qWnB","buitruonglinh","Từng Ngày Yêu Em","LOOPS Music",11,24,31,"382835"
31,"spotify:track:3CmacJj7VC4W6daC8BWd0h","Dương Domic","Mất Kết Nối","DAO Entertainment",2,19,37,"375474"
32,"spotify:track:6mKMGpkgP2cH5gmqILWe7b","Fishy","vết thương","LOOPS Music",27,27,12,"375299"
33,"spotify:track:4gaxEUZE4z9pJAVTSFwgQI","14 Casper, Bon Nghiêm, buitruonglinh","một đời","DANDERLÉON",15,23,71,"374355"
34,"spotify:track:26zqmmkqUK6mCc87XDzPym","ANH TRAI ""SAY HI"", RHYDER, CAPTAIN BOY, Quang Hùng MasterD, WEAN, Ali Hoàng Dương","CHÂN THÀNH (feat. RHYDER, Captain, Quang Hùng MasterD, WEAN & Ali Hoàng Dương)","Anh Trai Say Hi",14,35,51,"371435"
35,"spotify:track:36fgG6NiEuQXznNgf5y2Ck","T.R.I, Dangrangto, DONAL","một bài hát không vui mấy - Extended Version","Universal Music Indochina Distributed Labels",31,34,31,"360234"
36,"spotify:track:3COYA2vgfcUhDyRlVpZy5p","tlinh, Low G","PHÓNG ZÌN ZÌN","M Music Records",4,29,46,"357274"
37,"spotify:track:2Pwou3Q2Cf59RxdX2V6MgV","Shiki","Có Đôi Điều","12 trái lê",10,36,32,"357268"
38,"spotify:track:5PGh9MyKry8slG5AfvD1eD","Obito, Shiki, VSTRA","Hà Nội","12 trái lê",10,41,96,"354234"
39,"spotify:track:4fj4Jn4nw8fGX8xdbCntJf","CoolKid, RHYDER","Sau Cơn Mưa","MaiDao Music",8,42,101,"353900"
40,"spotify:track:5wYQC7AuxV8ROALWcbVNxc","Hoàng Dũng, Rhymastic, Lelarec","Giữ Anh Cho Ngày Hôm Qua","Lirico Entertainment",40,51,4,"351055"
41,"spotify:track:5BTzf3doGTigDIYUFtbkI9","Emcee L (Da LAB), Da LAB, Badbies","Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)","Yin Yang Media",5,37,241,"345985"
42,"spotify:track:7fCeYpR02Q8JVuD88hJZVT","Da LAB, Minh Tốc & Lam","Bầu Trời Mới","Universal Music Indochina Distributed Labels",8,43,44,"341270"
43,"spotify:track:7gSQxwCpEMjg8wb6Y3oqe7","ANH TRAI ""SAY HI"", RHYDER, Dương Domic, Pháp Kiều","HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)","Anh Trai Say Hi",6,28,56,"339941"
44,"spotify:track:5LuyL5o2BcFKK4FOJLYsSy","Minh Đinh, Hà An Huy","Nằm Bên Anh","DAO Entertainment",31,56,9,"338343"
45,"spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC","Shartnuss, Tr.D, Phankeo","Nắng có mang em về","MaiDao Music",17,45,78,"336275"
46,"spotify:track:1EmMFSLRVkOszCa4ul9z0F","W/N, Duongg, Nau, titie","3107 3","Universal Music Indochina Distributed Labels",1,87,210,"332686"
47,"spotify:track:226ljdOTLM2clGpm4mZvAm","Dangrangto","Love is","MaiDao Music",10,44,41,"330507"
48,"spotify:track:1MiJk3dXC5jzhvLFP0dUM7","Da LAB","Thức Giấc","Yin Yang Media",1,39,213,"323785"
49,"spotify:track:5rSAUmbOg4giDrM29vUyHe","Sơn Tùng M-TP","Nơi Này Có Anh","Universal Music Indochina Distributed Labels",5,48,322,"323390"
50,"spotify:track:5XfGQZA0ioQAWUjlyJRcHc","Shiki, Obito","1000 Ánh Mắt","12 trái lê",8,52,58,"321071"
51,"spotify:track:0669gFIK8dYK9GGQ0K0QNF","Dương Domic","Tràn Bộ Nhớ","DAO Entertainment",7,76,37,"318074"
52,"spotify:track:0s7RyyUlQfd8mnnboHe18n","MANBO, HIEUTHUHAI, HURRYKNG","Hẹn Gặp Em Dưới Ánh Trăng","Gerdnang",20,50,73,"314884"
53,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","bình yên","WM Vietnam",4,33,49,"314722"
54,"spotify:track:3y66li7DIrH7HLKIZzxR5H","Kai Đinh","Lễ Đường","Yin Yang Media",3,46,21,"313931"
55,"spotify:track:0SmQ0UWeiHKQtxUej4Rem6","SOOBIN","Tháng Năm","Spacespeakers",6,54,142,"301849"
56,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",2,55,42,"295436"
57,"spotify:track:5PLjpBivzvuaIIqqkQgnRK","GREY D, tlinh","vaicaunoicokhiennguoithaydoi","M Music Records",2,53,164,"294494"
58,"spotify:track:5WnIOTDM79zK6jwHVRL7bM","EM XINH ""SAY HI"", 52Hz, Lâm Bảo Ngọc, Pháo, 桃子A1J","QUẢ CHÍN QUÁ","Em Xinh Say Hi",49,49,3,"294444"
59,"spotify:track:2xOhv7XudrBDtkID1jwsFE","Vũ Cát Tường","Từng Là","Universal Music Indochina Distributed Labels",2,64,75,"291063"
60,"spotify:track:3DLtPObflLQBodZN8qGODT","JustaTee, BigDaddy","2AM","WM Vietnam",18,65,171,"288312"
61,"spotify:track:2GE2p2dFpxp7OIz2QOFBzW","ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac","KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)","Anh Trai Say Hi",5,59,50,"285733"
62,"spotify:track:1UQNU5O9VttUgO16pxUnjw","Obito, Shiki, RPT MCK","Đánh Đổi","12 trái lê",7,66,96,"282924"
63,"spotify:track:6Hs2xIgB8nzyGFDvVA8lFa","Madihu, Low G","Có Em","NGUYEN CHI PHONG",4,100,172,"282052"
64,"spotify:track:5ouxRyInSdRBQubu3KTd97","tlinh, 2pillz","nếu lúc đó","M Music Records",1,60,127,"272294"
65,"spotify:track:33S16Xa5cZmLPhn6eZI4Nm","52Hz, WEAN, RIO","ĐỢI (SPECIAL VERSION) [ft. WEAN]","DAO Entertainment",62,62,54,"272028"
66,"spotify:track:1J3SmWwlYAG68LGKr86MVH","Sơn Tùng M-TP","Chúng Ta Của Hiện Tại","Universal Music Indochina Distributed Labels",1,73,242,"271250"
67,"spotify:track:1xoadYaxtOp9gHDwgmPDuz","JSOL, Hoàng Duyên","Sài Gòn Hôm Nay Mưa","Universal Music Indochina",3,57,219,"270502"
68,"spotify:track:3hqOrxH5qPlvrApcb7Ac8c","Ronboogz","Lan Man","MaiDao Music",33,83,121,"266969"
69,"spotify:track:7mblTCdc14ylJ1JW71MODb","buitruonglinh","Giờ Thì","LOOPS Music",11,71,34,"264971"
70,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,118,55,"264369"
71,"spotify:track:2pm7K14nHj2fLrpU8j9bit","PC","10 Ngàn Năm","12 trái lê",27,68,165,"259654"
72,"spotify:track:5cml547MByVlaVrKU2lJTg","Andree Right Hand, Wxrdie, Donald Gold, 2pillz","Em iu","$maker Music",18,98,114,"259445"
73,"spotify:track:0Lf0ydJp4nbcEkYgPtIUuD","Ronboogz","Khi Mà","MaiDao Music",73,108,49,"258728"
74,"spotify:track:0e6fZkLArSmDIHnZcIua7t","Vũ., Low G","Không Yêu Em Thì Yêu Ai?","WM Vietnam",19,69,45,"258069"
75,"spotify:track:1J12HjUuXfJnaUdubTEzSR","HIEUTHUHAI","Nghe Như Tình Yêu","M Music Records",35,72,203,"257964"
76,"spotify:track:2U2u397Ae67nMMB4tje3Sq","EM XINH ""SAY HI"", Mỹ Mỹ, LYHAN, Liu Grace, MAIQUINN","NOT MY FAULT","Em Xinh Say Hi",61,61,3,"253705"
77,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",2,47,4,"245959"
78,"spotify:track:45PPoUgqs3JrhkZGEzSUHT","W/N, ERIK, Nau","3107 4 (feat. Erik, Nâu)","Universal Music Indochina Distributed Labels",24,185,107,"244403"
79,"spotify:track:6VXVYATpQXEIoZ97NnWCmn","Madihu, Vũ.","Vì Anh Đâu Có Biết","WM Vietnam",2,74,157,"242179"
80,"spotify:track:4vfhartd7HDWGJbdVIycEu","Sơn Tùng M-TP","Muộn Rồi Mà Sao Còn","Universal Music Indochina Distributed Labels",1,90,224,"241485"
81,"spotify:track:75weJdjMaaF016Df8BNl0f","Dangrangto, ZEXZEX, DONAL","Chấm Hết","Smiley Panda",81,166,9,"240713"
82,"spotify:track:3ldVGQB1yQd3zZKzBKNEWi","EM XINH ""SAY HI"", Phương Ly, Vũ Thảo My, Châu Bùi, Muộii","SO ĐẬM","Em Xinh Say Hi",58,58,4,"239356"
83,"spotify:track:265hQASPY3HFmUH38zZrSK","Dangrangto, DONAL","MOIEM","Higher Dimension",32,63,39,"239247"
84,"spotify:track:1XZE0InCx3SdCnLpVsPpZl","LBI利比","Jumping Machine (跳楼机)","Sony Music Entertainment",8,91,24,"238347"
85,"spotify:track:5xuaCJaNAqRLwV7OO5zPiF","W/N, Duongg, Nâu","3 1 0 7 (feat. Duongg & Nâu)","HONG AN ENTERTAIMENT,.JSC",11,132,261,"236211"
86,"spotify:track:0oSc7X1uRQGuEqNRtXEeQL","ERIK","Dù Cho Tận Thế","ENS ENTERTAINMENT",1,77,26,"235971"
87,"spotify:track:40pWxpbXoBYGPCiofujjZ6","MONO","Chăm Hoa","M Music Records",9,79,41,"234665"
88,"spotify:track:5Bti0azlFhMattVY76qFr9","Vũ.","Lạ Lùng","WM Vietnam",17,173,383,"232842"
89,"spotify:track:5iZHnufFUgATzrpGgH1K0W","T.R.I","Ánh Sao Và Bầu Trời","Yin Yang Media",1,67,196,"232237"
90,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",4,96,51,"231992"
91,"spotify:track:6Q2oEdOhRjZ1DTv2a7j0lN","PC, Dick, tofutns","Ghé Qua","12 trái lê",64,99,255,"231863"
92,"spotify:track:72NMPuJCRsOUoXQJdzVfdo","Tyronee, VSTRA, Obito","Track 06","12 trái lê",15,84,35,"231564"
93,"spotify:track:6r5o9yIc16ZvymXUKJQ1yy","W/N","2 4","W NATION",8,179,19,"231305"
94,"spotify:track:6hUpxEKFSjS8metuA1yxlf","SOOBIN","Vai Lan Don Dua","Space Speakers",46,81,221,"230843"
95,"spotify:track:5LQpQ6SDeaz6SIkR0lvsoC","GREY D, Chillies","đưa em về nhàa","M Music Records",3,116,120,"227356"
96,"spotify:track:7bn8ckDTI4EQIKZ6jRL4K0","Sơn Tùng M-TP","Chúng Ta Không Thuộc Về Nhau","Universal Music Indochina Distributed Labels",60,115,34,"227237"
97,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",11,93,111,"226273"
98,"spotify:track:27F22WcGDyl4Z2KylVJkXL","buitruonglinh","Đường Tôi Chở Em Về","Universal Music Indochina Distributed Labels",14,113,145,"223427"
99,"spotify:track:7kgzRBNkBRArtTPkYjWLYT","14 Casper, Bon Nghiêm","bao tiền một mớ bình yên?","DANDERLÉON",9,78,224,"222359"
100,"spotify:track:5C1O3fpMsiisJpHiB1uuDf","52Hz, RIO","ĐỢI (Prod. RIO)","DAO Entertainment",13,95,83,"222308"
101,"spotify:track:11OxuU5y7ebAJyKaY8dOl0","PAR SG, New$oulZ","Lý Do Nào Để Quay Lại Với Nhau","MaiDao Music",86,86,40,"222282"
102,"spotify:track:20jc2qrUesWnyDYnWq0XW8","SOOBIN","Nếu Ngày Ấy","Zing MP3",52,88,33,"221023"
103,"spotify:track:6jcLKVmEKAQIXIVHJZ8vzS","MONSTAR, GREY D, NICKY, VƯƠNG BÌNH","tình yêu chậm trễ","Yin Yang Media",46,82,138,"221011"
104,"spotify:track:6D94p9ASguBcYlDC0o56vx","HIEUTHUHAI","NOLOVENOLIFE","M Music Records",24,89,95,"219000"
105,"spotify:track:5Oc66ca5a4aMjtYJTi228b","SOOBIN","Sẽ Quên Em Nhanh Thôi","WDND",85,85,4,"218882"
106,"spotify:track:0BR4Hdge19djSuyrU0kT9F","B Ray","Còn Ai Ngoài Anh Với Em","MIXUS",46,70,4,"218026"
107,"spotify:track:1LJyhnPdYGRLerwJd8CmL1","Vũ., Dear Jane","Những Lời Hứa Bỏ Quên","WM Vietnam",1,80,86,"217580"
108,"spotify:track:5oFEvbM7lGnx8jfAkuhVyo","AMEE, RPT MCK","MỘNG YU","Yin Yang Media",3,112,53,"215298"
109,"spotify:track:2n00rcPaXcWfFB9irOKOmh","Ronboogz","Anh Chỉ Muốn","MaiDao Music",76,117,66,"214990"
110,"spotify:track:27Z9T0mSWHYWSj9SNOGvyt","JustaTee, Phương Ly","Thằng Điên","NGUYEN THANH TUAN",2,114,157,"214663"
111,"spotify:track:4CVxKSRLUxqUuj2z9vn4fS","SOOBIN","Xin Đừng Lặng Im","HONG AN ENTERTAIMENT,.JSC",37,97,11,"214204"
112,"spotify:track:4eeflgjzTF8xN8U2E0dech","Dangrangto, TeuYungBoy, DONAL","NGỰA Ô","Higher Dimension",9,94,44,"213489"
113,"spotify:track:55Eo6NDkVhSRBonrT16kXM","Cloud 5, Dangrangto","Đến Đây Bên Anh","Yin Yang Media",66,103,18,"210659"
114,"spotify:track:0JKEP4dB1riE6l7Kq5kJm1","Chillies","Em Đừng Khóc","WM Vietnam",3,-1,26,"210321"
