rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
170,"spotify:track:6XnBt8ME4K8d9oYf7SE5Wa","Magdy El Zahar, Eslam Kabonga","سوري مبردش انا بستوري","Hebesha Production",6,160,56,"110825"
171,"spotify:track:5v9jwJsiS768F1YgNtUg1W","Muslim - مُسلِم","Meen Kan Sabab","Global",37,153,157,"110534"
172,"spotify:track:0Cf7LlNUFY0zMyhc1SW3Xp","TUL8TE","Daroory","MDLBEAST Records",172,-1,1,"110496"
173,"spotify:track:76qVLkjVBysfvhiNRBpY5d","Farid, Muslim - مُسلِم","مرجعليش","farid",26,198,80,"110216"
174,"spotify:track:4hm1dpaWye5nKpWR8MA1D7","Molotof, Marwan Pablo","Geb Felos","Molotof",31,181,157,"110180"
175,"spotify:track:5iqwTdNpHSMEj8KkkCBllY","Wael Jassar","Khalina Zekra","Sharqi Production",65,167,151,"109910"
176,"spotify:track:2EmLwhd0RfEyFQjXNIenJG","Sherine","Ya Layaly","Nogoum Records",48,155,118,"109366"
177,"spotify:track:5bk599B50NA5HvmspldIGn","Mohammed Saeed","Alo Aleky","Mohammed Saeed",1,150,137,"108912"
178,"spotify:track:4MdCfDXhth25L47VtkIcnp","Shehab","مش مسيكب","Shehab",36,168,150,"108506"
179,"spotify:track:57a5ISfPIQodpJBCJyjiEz","Wegz","واحد وعشرين","Takwene",1,-1,160,"107993"
180,"spotify:track:3ilp9U50Ak4CKkS7jdCY4L","Ahmed Saad","اختياراتي - من فيلم مستر إكس","El Sobky proudctions",1,136,98,"107813"
181,"spotify:track:2SvLFBRHIss4l10WoU5Gwt","Mustafa El Gen, Hady Elsoghier","ياختى عليها حلوه سكره","Mahraganat",39,169,16,"107563"
182,"spotify:track:29K7YMYrPPUJwUjkrfW507","Wegz","مش فير","Takwene",1,-1,66,"107033"
183,"spotify:track:4HKDKyMh6vEW77QxpzKbfd","3ab3az","John Cena","3ab3az",142,142,3,"106973"
184,"spotify:track:4mdZovEqLja1kVt1EJeGAd","Amr Diab","Erga'laha","Sony Music Entertainment",25,131,5,"106839"
185,"spotify:track:3jRt39Jr9fuTTXnkOAW3gp","Houda","3mlt Block Ls7abi","Hoda Bondok",185,188,2,"106402"
186,"spotify:track:2vRaFkI7VDwdusgH4R2toP","Hassan El Shafei, Elissa, Al Ahly Sabbour Developments","Helwa W Ehna Sawa - الاهلى صبور","The Basement Records",113,-1,4,"106285"
187,"spotify:track:0DXWxLA80dDy3sAn7urje3","Amr Diab","Afelty El Le'ba","Sony Music Entertainment",44,135,5,"106148"
188,"spotify:track:1T6kKzuu2B2ll7Mh7EZGBH","Hamza Namira","Kollo Ala Allah","The Basement Records",156,156,2,"105682"
189,"spotify:track:0Zeh4nKHG4g8qp5oEnNDhQ","Tamer Ashour","Youm Ma Tensa","The Basement Records",15,-1,28,"105619"
